SKU,Regular price,Sale price
100009940,  -   ,  -   
100009939,  -   ,  -   
100009938,  -   ,  -   
100009937,  -   ,  -   
100009126,  29.06 ,  22.35 
100009125,  18.78 ,  11.54 
100009124,  40.48 ,  22.74 
100009123,  34.38 ,  20.55 
&gt;,  -   ,  -   
100005020,  207.45 ,  172.33 
100005022,  19.17 ,  19.04 
100005023,  242.14 ,  146.11 
100005024,  187.63 ,  159.91 
100005025,  123.58 ,  95.06 
100005026,  33.05 ,  26.21 
100005027,  36.02 ,  17.69 
100005028,  51.88 ,  18.80 
100005029,  36.02 ,  17.69 
100005031,  122.82 ,  53.96 
100005034,  42.33 ,  32.56 
100005036,  122.82 ,  49.37 
100005038,  43.95 ,  23.36 
100005039,  22.15 ,  16.10 
100005040,  67.73 ,  34.16 
100005041,  39.98 ,  19.32 
100005042,  28.09 ,  20.42 
100005043,  61.79 ,  35.32 
100005044,  48.25 ,  37.11 
100005047,  67.73 ,  30.08 
100005048,  39.59 ,  32.01 
100005049,  107.53 ,  82.71 
100005050,  27.10 ,  10.64 
100005051,  32.05 ,  13.22 
100005052,  31.39 ,  24.14 
100005053,  22.42 ,  17.25 
100005054,  60.05 ,  46.19 
100005057,  38.38 ,  29.53 
100005058,  71.39 ,  54.91 
100005059,  36.02 ,  13.72 
100005060,  146.72 ,  112.86 
100005064,  52.52 ,  40.40 
100005065,  21.15 ,  14.99 
100005066,  15.19 ,  15.19 
100005067,  197.12 ,  151.63 
100005068,  38.99 ,  22.38 
100005069,  110.20 ,  84.77 
100005070,  73.67 ,  61.87 
100005074,  118.74 ,  91.34 
100005079,  45.93 ,  39.18 
100005080,  50.88 ,  18.07 
100005081,  71.21 ,  54.77 
100005082,  40.14 ,  30.88 
100005085,  38.99 ,  27.39 
100005088,  40.98 ,  36.33 
100005089,  38.99 ,  33.88 
100005092,  74.66 ,  67.61 
100005094,  76.65 ,  67.61 
100005095,  53.86 ,  43.05 
100005096,  41.96 ,  34.69 
100005097,  24.12 ,  16.53 
100005098,  25.12 ,  14.02 
100005099,  26.11 ,  12.68 
100005100,  32.75 ,  11.54 
100005101,  24.12 ,  18.55 
100005104,  32.05 ,  22.85 
100005105,  92.20 ,  32.12 
100005107,  53.10 ,  40.84 
100005110,  26.38 ,  22.37 
100005112,  36.02 ,  26.50 
100005116,  63.76 ,  42.77 
100005117,  32.05 ,  20.29 
100005118,  38.60 ,  29.69 
100005119,  55.83 ,  30.22 
100005120,  43.05 ,  33.11 
100005121,  114.97 ,  88.44 
100005122,  72.62 ,  55.86 
100005124,  38.60 ,  29.69 
100005125,  967.68 ,  367.62 
100005126,  82.27 ,  63.29 
100005130,  43.95 ,  43.05 
100005133,  34.04 ,  21.97 
100005138,  42.95 ,  14.22 
100005139,  71.69 ,  55.30 
100005140,  -   ,  -   
100005141,  96.86 ,  74.50 
100005142,  49.89 ,  36.00 
100005143,  152.95 ,  72.74 
100005146,  143.04 ,  63.25 
