SKU,Regular price,Sale price
100005915,27.71,27.71
100005916,50.13,39.45
100005917,276.67,214.05
100005918,554.58,429.19
100005919,67.54,60.49
100005920,34.71,27.32
100005921,25.72,23.04
100005922,23.57,22.18
100005923,30.22,30.22
100005924,21.97,21.97
100005925,97.08,71.74
100005926,31.81,31.73
100005927,22.24,19.82
100005928,48.61,29.83
100005929,35.36,27.04
100005930,39.94,32.99
100005931,115.85,65.58
100005932,60.44,35.39
100005933,72.59,57.12
100005934,36.29,28.56
100005935,35.04,27.58
100005936,31.15,24.24
100005937,59.62,55.05
100005938,28.95,28.28
100005939,91.08,39.46
100005940,69.01,68.63
100005941,47.63,19.73
100005942,42.43,33.39
100005943,55.8,42.92
100005944,16.3,16.3
100005945,70.71,60.71
100005946,29.62,17.2
100005947,37.74,27.32
100005948,147.07,73.87
100005949,68.51,40.16
100005950,25.17,19.81
100005951,57.86,45.53
100005952,49.73,44.54
100005953,15.94,12.58
100005954,235.21,210.68
100005955,199.57,178.75
100005956,92.74,83.06
100005957,68.01,52.32
100005958,56.32,41.34
100005959,115.36,103.34
100005960,62.12,62.12
100005961,50.93,35.9
100005962,61.15,54.77
100005963,25.19,20.93
100005964,30.42,23.4
100005966,51.22,45.88
100005967,73.93,66.23
100005968,67.44,51.88
100005969,28.1,25.17
100005970,49.51,44.34
100005971,20.62,15.35
100005972,364.41,286.77
100005973,102.59,91.89
100005974,31.75,24.42
100005975,64.32,57.62
100005976,52.58,40.45
100005977,51.5,31.02
100005978,99.77,34.59
100005979,44.43,34.18
100005981,23.51,16.42
100005982,19.17,13.74
100005983,97.94,87.72
100005984,75.18,67.34
100005985,18.68,14.05
100005986,27.85,24.63
100005987,50.93,49.26
100005988,31.53,12.89
100005989,36.65,16.44
100005990,112.01,100.33
100005991,58.28,45.86
100005992,281.69,68.79
100005993,70.42,66.23
100005994,43.96,33.82
100005995,48.52,43.46
100005996,86.25,77.26
100005997,24.81,19.08
100005998,42.59,38.15
100005999,66.82,59.85
100006002,57.67,38.22
100006003,76.02,51.33
100006004,42.81,35.87
100006006,105.99,56.52
100006007,53.14,47.6
100006008,82.35,73.77
100006009,38.36,34.35
100006010,17.52,12.31
100006011,77.56,44.99
100006012,40.88,21.94
100006013,114.25,68.04
100006014,25.54,19.65
100006015,38.5,34.49
100006016,37.99,37.25
100006017,76.87,59.13
100006018,115.3,88.7
100006019,22.42,17.25
100006020,100.73,92.24
100006021,57.6,51.6
100006022,114.79,88.3
100006023,51.02,47.54
100006024,51.02,47.54
100006025,89.01,68.47
100006027,22.54,19.74
100006028,34.44,26.49
100006029,65.98,25.25
100006030,164.07,146.97
100006031,68.02,60.93
100006032,100.73,36.67
100006033,89.71,80.36
100006034,44.24,39.63
100006036,56.25,34.64
100006037,42.81,35.36
100006039,81.43,71.74
100006040,66.08,59.19
100006041,50.54,32.16
100006042,79.5,25.61
100006043,269.67,121.76
100006044,216.58,97.13
100006045,69.05,53.12
