Z,Regular price,Sale price
100000714,  27.85 ,  23.84 
100000716,  27.37 ,  23.95 
100000717,  50.54 ,  49.01 
100000718,  96.29 ,  74.07 
100000719,  31.22 ,  24.77 
100000720,  73.70 ,  49.67 
100000721,  58.26 ,  53.72 
100000722,  42.05 ,  37.67 
100000724,  63.08 ,  56.50 
100000725,  67.42 ,  51.86 
100000726,  32.99 ,  25.38 
100000727,  101.85 ,  78.34 
100000730,  32.27 ,  24.82 
100000731,  57.40 ,  44.15 
100000732,  106.74 ,  95.61 
100000738,  28.41 ,  21.86 
100000739,  50.03 ,  44.82 
100000740,  88.11 ,  67.78 
100000741,  17.23 ,  11.39 
100000742,  30.26 ,  19.87 
100000743,  28.33 ,  18.45 
100000745,  48.73 ,  48.52 
100000746,  26.10 ,  19.71 
100000748,  16.65 ,  13.06 
100000749,  19.78 ,  12.41 
100000750,  61.25 ,  38.07 
100000751,  40.43 ,  31.10 
100000752,  152.49 ,  136.59 
100000753,  152.49 ,  136.59 
100000754,  13.75 ,  11.40 
100000755,  23.31 ,  22.79 
100000756,  31.41 ,  24.16 
100000757,  29.58 ,  26.49 
100000758,  50.93 ,  32.84 
100000759,  27.85 ,  26.53 
100000760,  83.85 ,  64.50 
100000762,  69.61 ,  32.99 
100000764,  38.36 ,  34.35 
100000765,  37.99 ,  36.98 
100000766,  97.58 ,  75.06 
100000767,  23.46 ,  23.46 
100000769,  26.10 ,  22.67 
100000770,  16.65 ,  13.76 
100000771,  40.38 ,  29.42 
100000772,  21.68 ,  16.67 
100000773,  44.20 ,  34.00 
100000775,  54.76 ,  42.12 
100000776,  23.51 ,  13.85 
100000777,  62.12 ,  41.39 
100000778,  26.21 ,  15.22 
100000779,  15.79 ,  9.52 
100000780,  38.62 ,  28.56 
100000782,  32.55 ,  25.04 
100000783,  33.16 ,  17.54 
100000784,  177.96 ,  105.22 
100000788,  100.73 ,  64.52 
100000789,  22.96 ,  17.66 
100000790,  100.13 ,  89.68 
100000791,  22.45 ,  22.25 
100000792,  57.86 ,  44.51 
100000793,  19.06 ,  12.28 
100000794,  32.10 ,  23.29 
100000795,  61.28 ,  45.57 
100000796,  100.73 ,  92.24 
100000797,  155.09 ,  138.91 
100000798,  33.44 ,  25.72 
100000799,  68.31 ,  52.55 
100000800,  24.99 ,  20.44 
100000802,  69.16 ,  61.95 
100000807,  36.31 ,  34.49 
100000810,  37.88 ,  20.55 
100000811,  14.66 ,  10.28 
100000813,  47.75 ,  42.77 
100000814,  75.63 ,  48.98 
100000815,  28.67 ,  28.67 
100000817,  42.62 ,  33.54 
100000818,  17.71 ,  13.66 
100000819,  31.22 ,  24.14 
100000820,  32.64 ,  25.11 
100000824,  46.06 ,  41.25 
100000825,  24.47 ,  17.38 
100000826,  58.41 ,  44.93 
100000827,  49.97 ,  39.32 
100000828,  96.87 ,  84.11 
100000829,  35.09 ,  28.04 
100000830,  158.66 ,  140.18 
100000831,  101.47 ,  78.05 
100000833,  84.26 ,  64.82 
100000834,  17.74 ,  13.65 
100000835,  32.73 ,  29.32 
100000836,  42.05 ,  37.21 
100000837,  17.63 ,  17.63 
100000838,  75.94 ,  68.02 
100000843,  25.66 ,  19.66 
100000846,  52.60 ,  41.39 
100000847,  46.53 ,  31.46 
100000848,  16.32 ,  12.55 
100000849,  27.85 ,  20.33 
100000851,  25.66 ,  17.80 
100000852,  50.93 ,  38.14 
100000853,  23.77 ,  18.28 
100000854,  40.82 ,  36.56 
100000855,  61.23 ,  54.84 
100000856,  33.67 ,  26.49 
100000858,  87.49 ,  68.85 
100000859,  23.91 ,  18.39 
100000860,  55.40 ,  35.87 
100000861,  50.83 ,  45.53 
100000862,  27.37 ,  23.18 
100000863,  50.54 ,  46.36 
100000866,  13.85 ,  8.55 
100000867,  33.16 ,  16.42 
100000868,  27.37 ,  17.80 
100000869,  15.79 ,  10.86 
100000870,  15.11 ,  15.04 
100000871,  19.64 ,  13.75 
100000872,  35.26 ,  25.97 
100000873,  16.27 ,  16.27 
100000874,  40.36 ,  31.04 
100000875,  31.22 ,  20.61 
100000876,  58.26 ,  39.16 
100000877,  84.72 ,  75.88 
100000878,  48.80 ,  37.54 
100000879,  53.51 ,  34.41 
100000880,  35.49 ,  27.93 
100000882,  25.66 ,  15.05 
100000883,  37.88 ,  29.14 
100000884,  15.77 ,  14.35 
100000885,  33.16 ,  11.85 
100000886,  30.26 ,  20.13 
100000888,  34.10 ,  30.55 
100000890,  71.66 ,  55.12 
100000891,  73.18 ,  56.29 
100000892,  83.79 ,  75.06 
100000893,  53.06 ,  40.81 
100000894,  36.94 ,  32.91 
100000896,  41.04 ,  26.52 
100000897,  77.30 ,  53.04 
100000898,  44.45 ,  34.98 
100000900,  79.50 ,  76.68 
100000901,  97.08 ,  71.79 
100000904,  32.96 ,  25.94 
100000906,  71.80 ,  56.50 
100000911,  35.42 ,  31.73 
100000912,  15.79 ,  13.63 
100000913,  35.88 ,  27.60 
100000914,  54.53 ,  41.95 
100000915,  36.13 ,  27.79 
100000918,  27.37 ,  13.66 
100000919,  32.04 ,  19.18 
100000921,  19.06 ,  14.26 
100000922,  47.63 ,  43.94 
100000923,  33.34 ,  28.92 
100000925,  78.95 ,  70.72 
100000926,  25.23 ,  22.60 
100000927,  61.91 ,  48.98 
100000928,  44.50 ,  18.49 
100000929,  24.47 ,  14.14 
100000931,  29.10 ,  17.94 
100000932,  54.01 ,  29.71 
100000933,  30.90 ,  23.77 
100000934,  13.43 ,  11.01 
100000935,  52.12 ,  40.09 
100000936,  30.93 ,  24.60 
100000937,  20.17 ,  14.97 
100000940,  25.83 ,  19.87 
100000941,  37.43 ,  33.53 
100000943,  24.55 ,  13.36 
100000945,  22.36 ,  16.54 
100000951,  91.50 ,  28.84 
100000952,  42.81 ,  13.24 
100000953,  158.66 ,  52.06 
100000954,  42.81 ,  17.80 
100000955,  28.41 ,  22.35 
100000956,  56.80 ,  44.70 
100000959,  55.10 ,  43.87 
100000961,  20.17 ,  19.99 
100000962,  28.95 ,  12.58 
100000963,  53.13 ,  24.20 
100000964,  43.13 ,  38.63 
100000965,  32.25 ,  23.44 
100000966,  87.19 ,  61.26 
100000968,  22.54 ,  19.10 
100000969,  40.88 ,  38.20 
100000972,  81.84 ,  73.30 
100000973,  40.30 ,  36.10 
100000974,  123.36 ,  110.50 
100000975,  22.26 ,  14.07 
100000976,  24.55 ,  19.18 
100000977,  54.56 ,  42.37 
100000979,  53.13 ,  23.90 
100000980,  45.92 ,  35.32 
100000981,  21.57 ,  16.42 
100000982,  38.95 ,  32.84 
100000983,  56.32 ,  49.26 
100000985,  18.95 ,  15.66 
100000986,  33.13 ,  27.32 
100000988,  33.16 ,  30.35 
100000989,  62.12 ,  60.71 
100000990,  91.08 ,  91.06 
100000991,  97.05 ,  86.92 
100000992,  38.62 ,  25.17 
100000993,  40.88 ,  38.64 
100000994,  38.95 ,  36.87 
100000995,  101.89 ,  78.38 
100000996,  35.09 ,  26.06 
100000997,  67.77 ,  60.71 
100000998,  65.98 ,  42.78 
100001000,  31.65 ,  28.35 
100001001,  17.55 ,  17.23 
100001002,  38.47 ,  34.47 
100001003,  35.54 ,  35.18 
100001004,  42.72 ,  35.24 
100001005,  114.65 ,  88.19 
100001006,  40.88 ,  21.95 
100001007,  77.56 ,  44.99 
100001008,  60.19 ,  29.46 
100001009,  37.74 ,  25.39 
100001012,  16.32 ,  16.32 
100001013,  84.72 ,  75.88 
100001014,  46.21 ,  41.39 
100001015,  32.25 ,  22.45 
100001016,  59.72 ,  43.54 
100001017,  23.51 ,  22.08 
100001018,  70.39 ,  63.05 
100001019,  33.16 ,  14.07 
100001020,  62.12 ,  28.15 
100001021,  91.08 ,  42.22 
100001022,  17.71 ,  8.42 
100001024,  19.64 ,  15.14 
100001025,  35.09 ,  28.26 
100001026,  50.54 ,  42.94 
100001027,  28.95 ,  17.86 
100001028,  53.13 ,  31.73 
100001029,  77.30 ,  47.60 
100001030,  21.95 ,  17.09 
100001031,  16.74 ,  10.06 
100001032,  22.45 ,  20.11 
100001033,  41.85 ,  25.25 
100001034,  16.74 ,  12.47 
100001035,  22.54 ,  13.35 
100001036,  29.30 ,  25.15 
100001040,  35.54 ,  33.11 
100001041,  22.36 ,  19.33 
100001042,  14.56 ,  12.05 
100001043,  17.97 ,  13.34 
100001044,  31.15 ,  21.27 
100001045,  19.64 ,  15.94 
100001046,  35.09 ,  27.59 
100001047,  50.54 ,  41.39 
100001048,  27.12 ,  24.29 
100001049,  55.46 ,  49.68 
100001050,  32.29 ,  24.83 
100001051,  55.45 ,  49.67 
100001052,  14.38 ,  12.88 
100001054,  105.20 ,  82.78 
100001055,  42.08 ,  33.11 
100001056,  35.09 ,  32.41 
100001057,  28.05 ,  26.27 
100001059,  16.63 ,  12.79 
100001060,  68.60 ,  52.77 
100001061,  86.10 ,  66.23 
100001062,  26.03 ,  24.48 
100001063,  36.97 ,  33.11 
100001065,  24.55 ,  19.91 
100001066,  44.34 ,  40.82 
100001067,  25.48 ,  22.82 
100001068,  31.50 ,  24.23 
100001069,  44.52 ,  39.87 
100001070,  35.09 ,  33.55 
100001072,  20.62 ,  12.31 
100001073,  37.02 ,  20.11 
100001076,  19.64 ,  12.63 
100001077,  35.09 ,  20.81 
100001078,  50.54 ,  30.17 
100001079,  33.90 ,  26.08 
100001080,  15.79 ,  13.82 
100001082,  26.19 ,  23.46 
100001083,  64.01 ,  49.24 
100001084,  25.24 ,  16.36 
100001085,  46.28 ,  30.66 
100001086,  88.38 ,  59.24 
100001087,  52.28 ,  25.73 
100001088,  28.24 ,  16.42 
100001089,  17.62 ,  16.44 
100001090,  42.62 ,  34.88 
100001091,  85.29 ,  50.53 
100001092,  38.95 ,  23.32 
100001093,  73.70 ,  46.63 
100001094,  108.45 ,  69.95 
100001097,  20.62 ,  15.10 
100001098,  37.02 ,  30.69 
100001100,  34.51 ,  30.91 
100001101,  42.81 ,  31.35 
100001102,  44.74 ,  29.17 
100001103,  34.65 ,  26.66 
100001104,  59.52 ,  53.31 
100001105,  57.33 ,  45.12 
100001106,  28.33 ,  26.24 
100001107,  19.64 ,  19.24 
100001109,  22.87 ,  14.78 
100001110,  35.36 ,  29.57 
100001111,  28.95 ,  21.94 
100001112,  53.13 ,  39.74 
100001113,  23.51 ,  13.69 
100001114,  62.12 ,  38.16 
100001117,  18.68 ,  10.95 
100001118,  33.16 ,  21.95 
100001119,  31.22 ,  24.89 
100001120,  58.26 ,  45.92 
100001121,  85.29 ,  69.44 
100001123,  23.51 ,  15.07 
100001124,  56.50 ,  43.46 
100001125,  38.95 ,  22.30 
100001126,  73.70 ,  45.70 
100001127,  50.08 ,  38.53 
100001132,  35.09 ,  16.56 
100001133,  65.98 ,  31.04 
100001134,  38.99 ,  30.00 
100001135,  21.09 ,  14.52 
100001136,  54.89 ,  42.10 
100001137,  45.90 ,  41.12 
100001138,  91.81 ,  82.23 
100001140,  80.48 ,  63.33 
100001142,  25.55 ,  24.56 
100001143,  28.33 ,  20.81 
100001144,  21.57 ,  15.45 
100001145,  31.15 ,  22.88 
100001146,  57.53 ,  43.60 
100001147,  17.92 ,  16.05 
100001148,  62.03 ,  40.23 
100001149,  83.44 ,  64.18 
100001150,  18.15 ,  18.15 
100001152,  23.89 ,  23.89 
100001153,  54.22 ,  38.80 
100001154,  14.17 ,  12.05 
100001155,  63.12 ,  49.67 
100001156,  32.29 ,  24.83 
100001157,  94.68 ,  74.50 
100001158,  52.46 ,  28.70 
100001166,  33.16 ,  14.17 
100001170,  33.16 ,  15.81 
100001171,  62.12 ,  27.37 
100001172,  16.74 ,  10.96 
100001173,  50.36 ,  35.56 
100001174,  15.66 ,  11.61 
100001177,  26.75 ,  18.46 
100001178,  48.73 ,  37.75 
100001179,  70.71 ,  57.18 
100001180,  43.96 ,  18.15 
100001181,  31.22 ,  24.20 
100001182,  58.26 ,  44.21 
100001183,  85.63 ,  40.98 
100001184,  46.99 ,  36.15 
100001185,  76.76 ,  68.76 
100001186,  110.91 ,  99.34 
100001187,  27.37 ,  18.23 
100001188,  15.79 ,  9.11 
100001189,  12.43 ,  11.33 
100001190,  36.51 ,  32.70 
100001191,  60.84 ,  54.50 
100001192,  31.15 ,  25.39 
100001193,  57.53 ,  51.88 
100001194,  36.65 ,  19.62 
100001195,  68.51 ,  35.87 
100001196,  100.38 ,  53.81 
100001198,  35.96 ,  27.66 
100001199,  50.83 ,  45.53 
100001200,  60.27 ,  46.36 
100001201,  120.53 ,  92.72 
100001202,  15.79 ,  8.69 
100001203,  38.95 ,  26.35 
100001204,  37.97 ,  34.60 
100001205,  20.17 ,  19.50 
100001206,  63.90 ,  34.51 
100001207,  28.54 ,  10.53 
100001208,  10.06 ,  7.69 
100001209,  46.58 ,  35.83 
100001210,  38.95 ,  35.18 
100001211,  16.98 ,  15.21 
100001212,  34.51 ,  30.91 
100001213,  52.37 ,  46.92 
100001215,  31.15 ,  21.70 
100001216,  70.71 ,  53.12 
100001217,  9.99 ,  8.05 
100001218,  15.79 ,  11.92 
100001219,  27.37 ,  21.16 
100001221,  37.74 ,  28.57 
100001222,  27.75 ,  27.75 
100001225,  39.89 ,  35.73 
100001226,  82.33 ,  63.33 
100001227,  47.63 ,  23.04 
100001228,  91.08 ,  41.78 
100001229,  134.52 ,  61.63 
100001230,  31.22 ,  19.55 
100001231,  29.62 ,  21.97 
100001232,  40.15 ,  31.60 
100001233,  118.38 ,  91.06 
100001237,  68.88 ,  52.99 
100001238,  70.81 ,  70.45 
100001239,  46.53 ,  19.24 
100001241,  60.73 ,  46.71 
100001242,  40.88 ,  25.39 
100001243,  77.56 ,  49.26 
100001244,  31.93 ,  24.56 
100001245,  57.09 ,  27.46 
100001246,  30.75 ,  17.66 
100001247,  83.84 ,  41.18 
100001248,  15.31 ,  12.48 
